code,name,category,water_g,protein_g,ash_g,fat_g,fibre_total_g,carbs_g,energy_kcal
A001,"Amaranth seed, black",Cereals and Millets,9.89,14.59,2.78,5.74,7.02,59.98,356.1
A003,Bajra,Cereals and Millets,8.97,10.96,1.37,5.43,11.49,61.78,348.0
A004,Barley,Cereals and Millets,9.77,10.94,1.06,1.3,15.64,61.29,315.7
A005,Jowar,Cereals and Millets,9.01,9.97,1.39,1.73,10.22,67.68,334.1
A006,"Maize, dry",Cereals and Millets,9.26,8.8,1.17,3.77,12.24,64.77,334.1
A007,"Maize, tender, local",Cereals and Millets,68.29,3.57,0.38,1.4,3.67,22.69,120.0
A008,"Maize, tender, sweet",Cereals and Millets,74.4,4.16,0.36,1.35,3.3,16.42,96.8
A009,Quinoa,Cereals and Millets,10.43,13.11,2.65,5.5,14.66,53.65,328.4
A010,Ragi,Cereals and Millets,10.89,7.16,2.04,1.92,11.18,66.82,320.7
A011,Rice flakes,Cereals and Millets,10.36,7.44,0.85,1.14,3.46,76.75,353.7
A012,Rice puffed,Cereals and Millets,9.4,7.47,1.28,1.62,2.56,77.68,361.9
A013,"Rice, raw, brown",Cereals and Millets,9.33,9.16,1.04,1.24,4.43,74.8,353.7
A014,"Rice, parboiled, milled",Cereals and Millets,10.09,7.81,0.65,0.55,3.74,77.16,351.6
A015,"Rice, raw, milled",Cereals and Millets,9.93,7.94,0.56,0.52,2.81,78.24,356.4
A016,Samai,Cereals and Millets,11.36,10.13,1.34,3.89,7.72,65.55,346.3
A017,Varagu,Cereals and Millets,14.23,8.92,1.72,2.55,6.39,66.19,331.7
A018,"Wheat flour, refined",Cereals and Millets,11.34,10.36,0.51,0.76,2.76,74.27,351.8
A019,"Wheat flour, atta",Cereals and Millets,11.1,10.57,1.28,1.53,11.36,64.17,320.3
A020,"Wheat, whole",Cereals and Millets,10.58,10.59,1.42,1.47,11.23,64.72,321.9
A021,"Wheat, bulgur",Cereals and Millets,8.61,10.84,1.23,1.45,8.81,69.06,341.8
A022,"Wheat, semolina",Cereals and Millets,8.94,11.38,0.8,0.74,9.72,68.43,333.7
A023,"Wheat, vermicelli",Cereals and Millets,9.59,9.7,0.6,0.45,9.28,70.39,332.7
A024,"Wheat, vermicelli, roasted",Cereals and Millets,7.61,10.37,0.56,0.49,9.55,71.42,340.1
B001,"Bengal gram, dal",Grain Legumes,9.18,21.55,2.1,5.31,15.15,46.72,329.1
B002,"Bengal gram, whole",Grain Legumes,8.56,18.77,2.78,5.11,25.22,39.56,287.0
B003,"Black gram, dal",Grain Legumes,9.16,23.06,3.17,1.69,11.93,51.0,324.1
B004,"Black gram, whole",Grain Legumes,8.7,21.97,3.35,1.58,20.41,43.99,291.3
B005,"Cowpea, brown",Grain Legumes,9.42,20.36,2.9,1.15,11.54,54.62,320.3
B006,"Cowpea, white",Grain Legumes,9.32,21.25,2.83,1.14,11.7,53.77,320.3
B007,"Field bean, black",Grain Legumes,9.57,19.93,2.73,0.92,23.4,43.46,276.1
B008,"Field bean, brown",Grain Legumes,8.74,19.9,2.74,0.98,22.4,45.24,283.0
B009,"Field bean, white",Grain Legumes,8.61,19.84,3.09,0.94,22.99,44.53,280.4
B010,"Green gram, dal",Grain Legumes,9.77,23.88,3.04,1.35,9.37,52.59,325.8
B011,"Green gram, whole",Grain Legumes,9.95,22.53,3.22,1.14,17.04,46.13,293.7
B012,"Horse gram, whole",Grain Legumes,9.28,21.73,3.24,0.62,7.88,57.24,329.6
B013,Lentil dal,Grain Legumes,9.71,24.35,2.23,0.75,10.43,52.53,322.4
B014,"Lentil whole, brown",Grain Legumes,9.2,22.49,2.39,0.64,16.82,48.47,299.0
B015,"Lentil whole, yellowish",Grain Legumes,9.75,22.87,2.2,0.61,16.66,47.91,297.8
B016,Moth bean,Grain Legumes,8.14,19.75,3.14,1.76,15.12,52.09,308.6
B017,"Peas, dry",Grain Legumes,9.33,20.43,2.41,1.89,17.01,48.93,303.3
B018,"Rajmah, black",Grain Legumes,8.69,19.01,3.35,1.62,17.74,49.59,298.0
B019,"Rajmah, brown",Grain Legumes,9.68,19.5,3.36,1.68,16.95,48.83,297.6
B020,"Rajmah, red",Grain Legumes,9.87,19.91,3.28,1.77,16.57,48.61,299.2
B021,"Red gram, dal",Grain Legumes,9.2,21.7,3.26,1.56,9.06,55.23,330.8
B022,"Red gram, whole",Grain Legumes,9.3,20.47,3.53,1.38,22.84,42.48,273.9
B023,Ricebean,Grain Legumes,11.12,19.97,3.54,0.74,13.37,51.26,302.3
B024,"Soybean, brown",Grain Legumes,5.51,35.58,4.74,19.82,21.55,12.79,381.5
B025,"Soybean, white",Grain Legumes,5.47,37.8,4.52,19.42,22.63,10.16,377.4
C001,Agathi leaves,Green Leafy Vegetables,74.43,8.01,2.42,1.35,8.6,5.21,70.5
